Time;Robot;Node;Idleness;Interferences
53.5;0;5;27.6;18
55.8;4;6;29.9;18
61.6;7;3;35.7;20
63.0;3;2;37.1;20
68.2;2;7;42.3;20
75.8;4;0;49.9;20
77.9;1;4;52.0;20
80.5;6;1;54.6;21
82.1;5;11;56.2;21
89.1;7;0;13.3;22
98.1;5;10;72.2;23
99.2;2;0;10.1;23
107.0;3;0;7.7;26
109.7;0;0;2.8;26
119.0;5;14;93.1;28
123.8;1;8;97.9;28
170.2;1;9;144.3;38
224.6;6;0;114.8;42
234.8;1;0;10.2;44
277.7;5;16;251.8;44
294.2;5;15;268.3;44
325.0;5;17;299.1;44
351.8;5;18;325.9;44
372.7;5;19;346.8;44
388.1;5;13;362.2;44
404.1;5;12;378.2;44
467.8;5;0;233.0;53
